satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,scope,productivity,squandering,response,opportunity,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,score_topsis
5322.7,790,4511.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,224,0.6190476190476191,6.73759493670886,0.442484121383204,5.710126582278481,1.179937929505653,0.6806722689072453,0.7670682730913426,0.7727272727268044,0.7292418772559416,0.8774760987285638
5325.7,790,4485.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,225,0.6190476190476191,6.741392405063291,0.442484121383204,5.677215189873418,1.1874470457079151,0.6932773109240461,0.7710843373483653,0.7606060606055997,0.7256317689526943,0.87580102470481
5269.7,780,4420.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,217,0.6190476190476191,6.756025641025641,0.44954128440366975,5.666666666666667,1.192239819004525,0.6680672268904444,0.7630522088343199,0.7757575757571056,0.7148014440429526,0.8750980798147884
5287.7,786,4457.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,219,0.6190476190476191,6.72735368956743,0.4453069865913903,5.6704834605597965,1.1863809737491586,0.6596638655459105,0.7590361445772972,0.7696969696965033,0.7400722021656833,0.8740249024089913
5290.7,786,4431.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,220,0.6190476190476191,6.731170483460559,0.4453069865913903,5.637404580152672,1.1940194087113518,0.6722689075627114,0.7630522088343199,0.7575757575752985,0.7364620938624361,0.8721306398817477
5354.5,792,4396.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,226,0.6190476190476191,6.7607323232323235,0.4410726887791108,5.55050505050505,1.218039126478617,0.6806722689072453,0.7630522088343199,0.766666666666202,0.7111913357397054,0.8675642780602909
5271.5,782,4336.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,218,0.6190476190476191,6.741048593350383,0.4481298517995766,5.544757033248082,1.2157518450184501,0.6722689075627114,0.7389558232921835,0.7636363636359008,0.689530685920222,0.8651553008968947
5012.9,770,4602.0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,209,0.6428571428571429,6.51025974025974,0.4565984474241355,5.976623376623377,1.0892872664059103,0.697478991596313,0.7871485943764563,0.7939393939389128,0.7472924187721778,0.8639295583212366
5037.9,776,4642.0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,214,0.6428571428571429,6.492139175257732,0.45236414961185606,5.981958762886598,1.0852865144334338,0.70168067226858,0.7991967871475245,0.7939393939389128,0.750902527075425,0.8625899696426277
5292.5,788,4347.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,222,0.6190476190476191,6.716370558375634,0.44389555398729713,5.516497461928934,1.2175063262019783,0.6764705882349783,0.7389558232921835,0.7454545454540936,0.7111913357397054,0.8621282071799795
